id,number,type,status,propertyId,createdAt,area,baths,floor,rooms
218,مكتب 13,YEARLY,OCCUPIED,2,2025-10-19T08:05:30.038Z,,1,0,1
219,مكتب 14,YEARLY,OCCUPIED,2,2025-10-19T08:09:49.937Z,,1,0,1
220,مكتب 15,YEARLY,OCCUPIED,2,2025-10-19T08:26:36.992Z,,1,0,1
221,مكتب 16,YEARLY,OCCUPIED,2,2025-10-19T08:33:52.593Z,,1,0,1
222,مكتب 17,YEARLY,OCCUPIED,2,2025-10-19T08:49:26.678Z,,1,0,1
223,مكتب 18,YEARLY,OCCUPIED,2,2025-10-19T08:54:57.091Z,,1,0,1
224,مكتب 19,YEARLY,OCCUPIED,2,2025-10-19T09:04:56.687Z,,1,0,1
225,مكتب 20,YEARLY,OCCUPIED,2,2025-10-19T09:11:01.850Z,,1,0,1
226,مكتب 21,YEARLY,OCCUPIED,2,2025-10-19T09:22:17.798Z,,1,0,1
227,مكتب 23,YEARLY,OCCUPIED,2,2025-10-19T09:39:31.238Z,,1,0,1
228,مكتب 24,YEARLY,OCCUPIED,2,2025-10-19T09:51:26.207Z,,1,0,1
229,مكتب 25,YEARLY,OCCUPIED,2,2025-10-19T09:54:54.608Z,,1,0,1
230,مكتب 26,YEARLY,OCCUPIED,2,2025-10-19T09:58:29.719Z,,1,0,1
231,المعرض الأرضي,YEARLY,OCCUPIED,2,2025-10-19T10:06:29.006Z,,1,0,1
232,غرفة البدروم,YEARLY,OCCUPIED,2,2025-10-19T10:13:28.286Z,,1,0,1
233,معرض فندق قريش,YEARLY,OCCUPIED,5,2025-10-19T10:17:42.800Z,,1,0,1
234,محل المساج,YEARLY,AVAILABLE,5,2025-10-19T10:23:30.931Z,,1,0,1
208,6,YEARLY,AVAILABLE,3,2025-10-18T21:34:44.683Z,,1,0,1
